OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
2495,39,Forest,,4826436,N,N,,,,,37,10
2496,381,Clayton,,4815256,N,N,,,,,183,19
2497,382,Long Branch,,4843744,N,N,,,,,183,19
2498,383,Gallaway,,4828020,N,N,,,,,183,19
2499,384,Dotson,,4821004,N,N,,,,,183,19
2500,385,Bethany,,4807912,N,N,,,,,183,19
2501,386,Panola,,4854984,N,N,,,,,183,19
2502,387,Halls Store,,4831892,N,N,,,,,183,19
2503,388,Horton,,4834868,N,N,,,,,183,19
2504,389,De Berry,,4819516,N,N,,,,,183,19
2505,390,Grand Bluff,,4830428,N,N,,,,,183,19
2506,40,Dialville,,4820284,N,N,,,,,37,10
2507,391,Old Center,,0,N,N,,,,,183,19
2508,392,Nolan,,4851696,N,N,,,,,177,8
2509,393,Maryneal,,4846944,N,N,,,,,177,8
2510,394,Hylton,,4835660,N,N,,,,,177,8
2511,395,Wastella,,4876660,N,N,,,,,177,8
2512,396,Hannibal,,4832120,N,N,,,,,73,2
2513,397,Reagan,,4860896,N,N,,,,,74,9
2514,398,Durango,,4821748,N,N,,,,,74,9
2515,399,Cedar Springs,,4813600,N,N,,,,,230,19
2516,400,Highbank,,4833632,N,N,,,,,74,9
2517,5,Hermleigh,,4833356,N,N,,,345,,208,8
2518,41,Shady Grove,,4867028,N,N,,,,,37,10
2519,401,Three Points,,4872860,N,N,,,,,227,14
2520,402,Del Valle,,4819816,N,N,,,,,227,14
2521,403,McNeil,,4845900,N,N,,,,,227,14
2522,404,Dessau,,4820104,N,N,,,,,227,14
2523,405,Circleville,,0,N,N,,,,,227,14
2524,406,Garfield,,4828320,N,N,,,1698,,227,14
2525,407,Moore's Crossing,,4849248,N,N,,,,,227,14
2526,408,Pilot Knob,,4857464,N,N,,,,,227,14
2527,409,Bluff Springs,,4808968,N,N,,,,,227,14
2528,410,Manchaca,,4846308,N,N,,,1133,,227,14
2529,42,Delmar,,0,N,N,,,,,37,10
2530,411,Elroy,,4824024,N,N,,,,,227,14
2531,412,Carl,,0,N,N,,,,,227,14
2532,413,Oak Hill,,4852956,N,N,,,,,227,14
2533,414,Marshall Ford,,4846788,N,N,,,,,227,14
2534,415,Four Points,,0,N,N,,,18,,227,14
2535,416,Kings Village,,0,N,N,,,,,227,14
2536,417,Coxville,,0,N,N,,,,,227,14
2537,418,Romayor,,4863056,N,N,,,,,146,20
2538,419,Rye,,4863932,N,N,,,,,146,20
2539,420,Dolen,,4820800,N,N,,,,,146,20
2540,43,Oakland,,4853040,N,N,,,,,37,10
2541,421,Jonah,,4837948,N,N,,,,,246,14
2542,422,Circleville,,0,N,N,,,,,227,14
2543,423,Noack,,4851600,N,N,,,,,246,14
2544,424,Locker,,4843192,N,N,,,,,206,23
